filepath,yhat,label
Background\5B0A5C53.WAV,[[1.]],0
Background\5AECA3AF.WAV,[[1.]],0
Background\5B02F3E0.WAV,[[1.]],0
Background\601D3653.WAV,[[1.]],0
Background\5ADCCDA3.WAV,[[1.]],0
Background\5AF9B305.WAV,[[1.]],0
Background\5AEB61C8.WAV,[[1.]],0
Background\5ADA1D11.WAV,[[1.]],0
Background\5AEC49EC.WAV,[[1.]],0
Background\5AD24194.WAV,[[1.]],0
Background\5B059EF7.WAV,[[1.]],0
Background\5B17264A.WAV,[[1.]],0
Background\5ACD0BF9.WAV,[[1.]],0
Background\601AA9D8.WAV,[[1.]],0
Background\5ACA0613.WAV,[[1.]],0
Background\5AD4DE77.WAV,[[1.]],0
Background\601D8D77.WAV,[[1.]],0
Background\5AF895BF.WAV,[[1.]],0
Background\600F6783.WAV,[[1.]],0
Background\5AFB553D.WAV,[[1.]],0
Background\5AD0D601.WAV,[[1.]],0
Background\600FAB3B.WAV,[[1.]],0
Background\6009D67D.WAV,[[1.]],0
Background\5B1EB451.WAV,[[1.]],0
Background\601994E2.WAV,[[1.]],0
Background\5AF0492E.WAV,[[1.]],0
Background\5AF8673B.WAV,[[1.]],0
Background\5AFA0605.WAV,[[1.]],0
Background\5AFDE66B.WAV,[[1.]],0
Background\6022F012.WAV,[[1.]],0
Background\5AECAFBC.WAV,[[1.]],0
Background\5AF0E0A3.WAV,[[1.]],0
Background\5AEDF132.WAV,[[1.]],0
Background\5B0976D0.WAV,[[1.]],0
Background\5AD27A61.WAV,[[1.]],0
Background\5AEF8B3D.WAV,[[1.]],0
Background\5B19BBBE.WAV,[[1.]],0
Background\601E77A3.WAV,[[1.]],0
Background\5AEC9E93.WAV,[[1.]],0
Background\6020A297.WAV,[[1.]],0
Background\5AD87D0F.WAV,[[1.]],0
Background\5B0065AF.WAV,[[1.]],0
Background\6012CFCD.WAV,[[1.]],0
Background\5B1D5B14.WAV,[[1.]],0
Background\5ADE2DC6.WAV,[[1.]],0
Background\5AF9CEDA.WAV,[[1.]],0
Background\5AEE3F10.WAV,[[1.]],0
Background\601878E5.WAV,[[1.]],0
Background\601CF2EC.WAV,[[1.]],0
Background\60101C45.WAV,[[1.]],0
Background\5AD699F0.WAV,[[1.]],0
Background\6011EDA7.WAV,[[1.]],0
Background\6022DD12.WAV,[[1.]],0
Background\6019A283.WAV,[[1.]],0
Background\5AF049D9.WAV,[[1.]],0
Background\600DD7E8.WAV,[[1.]],0
Background\6015DA32.WAV,[[1.]],0
Background\5AD45EA4.WAV,[[1.]],0
Background\601D8BC7.WAV,[[1.]],0
Background\602250D7.WAV,[[1.]],0
Background\5B0D3BAA.WAV,[[1.]],0
Background\5B129E77.WAV,[[1.]],0
Background\60181AB2.WAV,[[1.]],0
Background\5AD3FDC1.WAV,[[1.]],0
Background\5ADF9284.WAV,[[1.]],0
Background\5B105F06.WAV,[[1.]],0
Background\5AC95C06.WAV,[[1.]],0
Background\5B1C1957.WAV,[[1.]],0
Background\5ADBD64F.WAV,[[1.]],0
Background\5ACDA06B.WAV,[[1.]],0
Background\60119EE4.WAV,[[1.]],0
Background\5AC9AB9E.WAV,[[1.]],0
Background\5B0F02F1.WAV,[[1.]],0
Background\5B1C2135.WAV,[[1.]],0
Background\5AF58EBF.WAV,[[1.]],0
Background\5AC98145.WAV,[[1.]],0
Background\5ADE3F3F.WAV,[[1.]],0
Background\5AC9AE5E.WAV,[[1.]],0
Background\5AEDF297.WAV,[[1.]],0
